neighborhood,african_american,american_indian,asian__not_pacific_islander,hispanic,multiracial,native_hawaiian_or_other_pacific_islander,white,total_students_enrolled,student_count_redactions,attending_feeder,attending_nonfeeder,total_with_feeder_status,feeder_count_redactions,grade_level
South Shore,,,,,,,,,Y,,,,Y,K-5
South Side Flats,,,,,,,28,53,Y,41,12,53,,K-5
South Side Slopes,28,,,,,,37,83,Y,43,40,83,,K-5
Spring Garden,,,,,,,20,34,Y,16,18,34,,K-5
Spring Hill-City View,51,,,,16,,44,116,Y,75,41,116,,K-5
Squirrel Hill North,,,13,,11,,80,109,Y,,,109,Y,K-5
Squirrel Hill South,15,,52,,33,,175,286,Y,243,43,286,,K-5
Stanton Heights,65,,,,12,,52,139,Y,53,86,139,,K-5
Strip District,,,,,,,,,Y,,,,Y,K-5
Summer Hill,,,,,,,,16,Y,,,16,Y,K-5
Swisshelm Park,,,,,,,,,Y,,,,Y,K-5
Terrace Village,177,,,,16,,,200,Y,86,114,200,,K-5
Troy Hill,21,,,,,,27,56,Y,29,27,56,,K-5
Upper Hill,54,,,,11,,,70,Y,26,44,70,,K-5
Upper Lawrenceville,,,,,,,32,51,Y,32,19,51,,K-5
West End,13,,,,,,,17,Y,,,17,Y,K-5
West Oakland,21,,,,,,,26,Y,12,14,26,,K-5
Westwood,14,,64,,,,34,126,Y,60,66,126,,K-5
Wilkinsburg Borough,,,,,,,,11,Y,,,11,Y,K-5
Windgap,23,,,,,,,40,Y,28,12,40,,K-5
Allegheny Center,20,,,,,,,23,Y,,,23,Y,8-Jun
Allegheny West,,,,,,,,,Y,,,,Y,8-Jun
Allentown,52,,,,12,,19,84,Y,52,32,84,,8-Jun
Arlington,35,,,,,,,49,Y,28,21,49,,8-Jun
Arlington Heights,,,,,,,,,Y,,,,Y,8-Jun
Banksville,,,,,,,24,39,Y,17,22,39,,8-Jun
Bedford Dwellings,47,,,,,,,48,Y,21,27,48,,8-Jun
Beechview,49,,,36,23,,84,196,Y,70,126,196,,8-Jun
Beltzhoover,61,,,,,,,69,Y,30,39,69,,8-Jun
Bloomfield,,,,,,,30,50,Y,21,29,50,,8-Jun
Bluff,,,,,,,,11,Y,,,11,Y,8-Jun
Bon Air,,,,,,,,18,Y,,,18,Y,8-Jun
Brighton Heights,70,,,,12,,30,119,Y,54,65,119,,8-Jun
Brookline,35,,,18,36,,177,276,Y,166,110,276,,8-Jun
California-Kirkbride,24,,,,,,,29,Y,12,17,29,,8-Jun
Carrick,93,,28,,32,,130,293,Y,178,115,293,,8-Jun
Central Lawrenceville,,,,,,,23,34,Y,,,34,Y,8-Jun
Central Northside,18,,,,,,,27,Y,,,27,Y,8-Jun
Central Oakland,,,,,,,,,Y,,,,Y,8-Jun
Chartiers City,,,,,,,,,Y,,,,Y,8-Jun
Crafton Heights,71,,,,15,,27,119,Y,48,71,119,,8-Jun
Crawford-Roberts,50,,,,,,,51,Y,17,34,51,,8-Jun
Duquesne Heights,,,,,,,,14,Y,,,14,Y,8-Jun
East Allegheny,,,,,,,,15,Y,,,15,Y,8-Jun
East Carnegie,,,,,,,,,Y,,,,Y,8-Jun
East Hills,118,,,,,,,130,Y,65,65,130,,8-Jun
East Liberty,81,,,,,,,104,Y,28,76,104,,8-Jun
Elliott,35,,,,,,12,60,Y,29,31,60,,8-Jun
Esplen,,,,,,,,,Y,,,,Y,8-Jun
Fairywood,,,,,,,,18,Y,,,18,Y,8-Jun
Fineview,,,,,,,,12,Y,,,12,Y,8-Jun
Friendship,,,,,,,,11,Y,,,11,Y,8-Jun
Garfield,110,,,,,,,128,Y,55,73,128,,8-Jun
Glen Hazel,18,,,,,,,18,N,,,18,Y,8-Jun
Golden Triangle,,,,,,,,,Y,,,,Y,8-Jun
Greenfield,,,,,14,,71,108,Y,74,34,108,,8-Jun
Hays,,,,,,,,15,Y,,,15,Y,8-Jun
Hazelwood,101,,,,,,36,152,Y,99,53,152,,8-Jun
Highland Park,24,,,,,,34,72,Y,,,72,Y,8-Jun
Homewood North,127,,,,,,,131,Y,45,86,131,,8-Jun
Homewood South,88,,,,,,,91,Y,36,55,91,,8-Jun
Homewood West,21,,,,,,,21,N,,,21,Y,8-Jun
Knoxville,105,,,,22,,30,169,Y,85,84,169,,8-Jun
Larimer,45,,,,,,,54,Y,14,40,54,,8-Jun
Lincoln Place,,,,,,,33,51,Y,37,14,51,,8-Jun
Lincoln-Lemington-Belmar,116,,,,,,,128,Y,47,81,128,,8-Jun
Lower Lawrenceville,,,,,,,,16,Y,,,16,Y,8-Jun
Manchester,29,,,,,,,39,Y,17,22,39,,8-Jun
Marshall-Shadeland,67,,,,14,,14,99,Y,59,40,99,,8-Jun
Middle Hill,39,,,,,,,41,Y,19,22,41,,8-Jun
Morningside,15,,,,,,21,40,Y,12,28,40,,8-Jun
Mount Oliver,13,,,,,,,24,Y,,,24,Y,8-Jun
Mount Washington,36,,,,20,,49,110,Y,65,45,110,,8-Jun
Mt. Oliver Borough,56,,,12,15,,25,113,Y,39,74,113,,8-Jun
NULL,,,,,,,,,Y,,,,Y,8-Jun
New Homestead,,,,,,,,,Y,,,,Y,8-Jun
Northview Heights,116,,,,,,,119,Y,55,64,119,,8-Jun
Oakwood,,,,,,,,,Y,,,,Y,8-Jun
Overbrook,11,,,,,,50,70,Y,45,25,70,,8-Jun
Perry North,41,,,,,,30,83,Y,37,46,83,,8-Jun
Perry South,92,,,,,,,108,Y,29,79,108,,8-Jun
Point Breeze,,,,,,,32,45,Y,21,24,45,,8-Jun
Point Breeze North,,,,,,,11,25,Y,,,25,Y,8-Jun
Polish Hill,,,,,,,,,Y,,,,Y,8-Jun
Regent Square,,,,,,,,,Y,,,,Y,8-Jun
Ridgemont,,,,,,,,,Y,,,,Y,8-Jun
Saint Clair,,,,,,,,,Y,,,,Y,8-Jun
Shadyside,,,,,,,13,39,Y,26,13,39,,8-Jun
Sheraden,110,,,,21,,14,156,Y,95,61,156,,8-Jun
South Oakland,,,,,,,,13,Y,,,13,Y,8-Jun
South Side Flats,,,,,,,,16,Y,,,16,Y,8-Jun
South Side Slopes,11,,,,,,24,52,Y,20,32,52,,8-Jun
Spring Garden,,,,,,,,12,Y,,,12,Y,8-Jun
Spring Hill-City View,18,,,,,,20,47,Y,33,14,47,,8-Jun
Squirrel Hill North,,,,,,,48,61,Y,42,19,61,,8-Jun
